AÑO,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2012,Putumayo,93570,7817,7817,4882,7895,5746,2728,9312,933,10413,9193,6764,2377,1574,616,605,563,744,488,896,28,9134,744,9023,424,28,9134,719,489,103,28,1,133,73
2012,"Archipiélago de San Andrés, Providencia y Santa Catalina",15648,687,6865,5987,6969,6091,3982,7621,8041,7685,7921,6691,2528,0,126,121,112,152,112,9816,0,9837,152,9816,58,0,9837,76,72,39,0,231,703,274
2012,Amazonas,22194,8187,8187,6022,8562,5333,2231,9476,10882,11346,8495,5828,1934,2091,47,516,23,797,806,9374,0,9578,797,8996,156,0,9578,135,198,63,0,683,725,317
2012,Guainía,11920,7082,7082,4769,725,2838,824,859,9797,12318,6645,3319,186,1895,891,943,818,1063,793,7818,829,7974,1063,774,1291,829,7974,1674,1466,175,829,177,146,143
2012,Guaviare,31272,592,5918,3754,5824,4364,1962,713,6181,805,7154,5099,1866,1142,486,411,537,446,389,9489,12,9446,446,9528,26,12,9446,28,84,15,12,113,24,73
2012,Vaupés,12681,6232,6232,2529,6335,3181,936,7318,4372,10051,6176,3778,1321,2061,762,909,662,89,1082,7986,227,7986,89,7663,1252,227,7986,123,1254,511,227,595,48,131
2012,Vichada,20686,6675,6675,3802,6696,3337,1501,7511,7078,10397,5697,3588,1567,1786,507,759,441,611,414,8824,4,8645,611,9394,669,4,8645,281,192,131,4,133,167,104
2013,Antioquia,1272458,9206,9193,6761,9153,7566,4271,10569,8977,11471,11013,8342,5272,6847,357,292,294,48,307,9159,12,9302,48,9176,484,12,9302,696,517,157,12,141,227,112
2013,Atlántico,522832,8641,8622,5367,8323,741,4394,9558,9045,10534,9636,7205,2946,8494,312,158,355,317,233,9577,56,9544,317,9672,111,56,9544,143,95,166,56,171,189,79
2013,"Bogotá, D.C.",1466854,845,8407,6124,7932,7972,5267,9142,7894,8984,9941,8553,2808,9986,368,59,31,482,374,9632,1,969,482,9626,0,1,969,0,0,689,1,488,1078,554
2013,Bolívar,492500,8966,8955,5986,875,704,3827,10372,11014,11502,10157,7686,3498,5259,256,257,258,266,22,9423,42,9491,266,9372,32,42,9491,477,408,191,42,212,219,83
2013,Boyacá,292312,851,8505,6611,8156,7509,4843,963,8449,943,10256,9408,3997,2357,245,23,178,325,25,9341,27,9535,325,9377,414,27,9535,653,374,169,27,128,255,137
2013,Caldas,196982,8258,8254,5605,782,7078,446,9492,7579,9879,10075,832,4009,3449,41,426,336,538,321,8864,36,903,538,904,725,36,903,102,639,187,36,157,275,142
2013,Caquetá,124458,8095,8094,4928,8193,5648,2387,9555,8972,11483,9045,5816,467,848,655,608,669,695,434,9248,26,9255,695,9448,96,26,9255,148,118,132,26,113,206,89
2013,Cauca,320510,8434,8433,4761,8542,6311,319,10467,86,12239,10161,7768,3035,2464,374,201,34,475,36,9169,96,9186,475,9282,457,96,9186,547,359,128,96,12,167,123
2013,Cesar,262240,9492,948,5866,9336,7146,3602,10998,11837,12467,1062,7574,4423,224,453,602,432,477,33,8987,242,9067,477,9116,56,242,9067,75,554,107,242,99,127,68
2013,Córdoba,407589,9339,9335,5706,9217,7347,3638,11067,1103,12275,1109,7941,3242,1828,23,218,196,279,244,9613,75,9679,279,9572,157,75,9679,223,184,269,75,285,286,173
2013,Cundinamarca,572012,9049,9028,61,8547,8208,4798,10066,8869,10181,11073,8373,2342,3051,317,353,261,393,269,957,3,9684,393,959,112,3,9684,193,141,19,3,139,295,152
2013,Chocó,145133,7959,7959,5547,8273,4428,1843,9673,9565,1225,8231,5624,1738,796,459,279,429,619,371,8885,14,8862,619,9192,656,14,8862,837,438,15,14,16,11,6
2013,Huila,272091,8973,8968,6477,9086,7527,3907,10165,8851,11353,10467,7309,3956,1173,478,42,327,7,499,9218,7,9434,7,9105,304,7,9434,439,397,103,7,77,165,81
2013,La Guajira,244513,748,7473,4536,7175,4338,1995,8785,10036,11438,6789,4391,4737,1404,527,408,569,531,348,9412,26,9377,531,9583,61,26,9377,9,68,235,26,247,261,111
2013,Magdalena,332266,9603,9583,6385,8983,6882,3497,11711,14497,14175,10058,7196,3644,3069,319,203,313,387,268,9532,72,9541,387,96,149,72,9541,186,132,132,72,128,156,76
2013,Meta,213170,9483,9476,6252,9448,7698,4324,10643,959,11902,10596,8032,4267,1932,449,466,383,569,372,9387,17,9515,569,9406,163,17,9515,272,222,115,17,93,186,66
2013,Nariño,399032,766,7658,4593,7534,5614,2899,9362,7761,11169,9065,6236,3294,3083,29,88,307,339,207,9583,2,9634,339,9558,126,2,9634,231,235,185,2,184,234,134
2013,Norte de Santander,317334,8642,8637,6114,8874,6627,3786,10076,10128,11719,9631,7064,4368,869,366,376,311,468,302,9529,14,9615,468,9547,105,14,9615,163,15,172,14,13,267,156
2013,Quindio,111539,8589,8587,5139,783,7846,4706,10048,7884,10046,11271,872,4912,6471,53,617,43,675,407,897,6,9231,675,9075,499,6,9231,771,519,121,6,104,181,65
2013,Risaralda,187946,8997,8981,5808,8586,7528,4249,1064,9238,11267,11331,8508,3008,2754,517,543,369,745,397,8977,91,9303,745,9039,506,91,9303,812,564,94,91,86,129,63
2013,Santander,419596,934,9328,6045,9292,8027,4809,10644,10386,11456,10906,8409,3886,1565,36,47,269,472,309,9298,47,953,472,925,341,47,953,558,441,204,47,148,329,135
2013,Sucre,202453,9668,9664,6766,957,7542,3963,11732,13311,13745,10685,8158,3484,3049,383,408,331,466,341,8668,82,8751,466,8768,949,82,8751,129,891,7,82,72,69,64
2013,Tolima,317546,8702,8695,5582,8399,7308,4052,1002,9067,10419,10857,7824,37,2039,401,457,35,49,304,8865,3,9039,49,9054,734,3,9039,1096,641,5,3,5,61,39
2013,Valle del Cauca,887988,8756,8737,5892,8498,7127,4061,10144,9438,11017,10454,7882,2967,5639,304,272,257,38,288,9357,25,9483,38,936,339,25,9483,513,352,13,25,109,19,86
2013,Arauca,74658,7071,707,4308,6981,5413,2778,8163,8138,9313,7811,5613,2769,1663,417,213,426,509,263,9583,0,9574,509,9728,1,0,9574,0,9,242,0,196,363,204
2013,Casanare,86460,10373,10369,7455,10207,8485,4546,11781,10985,1278,12014,921,3193,3344,367,442,314,45,293,9086,41,923,45,9238,547,41,923,822,47,134,41,121,203,54
2013,Putumayo,92887,7696,7696,3682,7677,6032,2769,8983,8015,9983,9202,6513,5579,751,568,625,45,744,541,8853,32,9113,744,8773,579,32,9113,898,686,98,32,92,134,56
2013,"Archipiélago de San Andrés, Providencia y Santa Catalina",15536,6793,6789,4861,665,6241,3906,7443,6722,7496,8192,6198,3824,80,91,93,1,97,42,9908,0,99,97,9949,1,0,99,0,8,473,0,331,698,363
2013,Amazonas,22123,8184,8183,4838,8396,5822,2209,9541,9686,11183,9123,5961,276,1284,329,316,182,526,557,9578,0,9705,526,9231,93,0,9705,56,212,432,0,441,516,258
2013,Guainía,11918,7257,7256,5089,6902,3032,912,11403,10876,15084,10187,5276,5964,2308,493,356,383,792,621,7971,102,8071,792,833,1536,102,8071,1856,1049,359,102,372,306,155
2013,Guaviare,31276,5733,5732,2948,5521,4404,2089,7031,584,7805,7335,4964,4517,2143,402,363,431,414,239,9597,0,9569,414,9756,1,0,9569,0,6,116,0,8,184,179
2013,Vaupés,12659,6225,6225,2169,6388,332,894,7445,4656,10004,6421,4106,1437,1933,853,1155,725,1119,675,813,152,8044,1119,8561,1017,152,8044,785,764,285,152,296,301,32
2013,Vichada,20977,7461,746,3504,7482,3674,1401,8457,8577,11902,6213,3526,2097,3533,917,74,983,875,671,8784,26,875,875,8889,299,26,875,446,44,125,26,91,236,17
2014,Antioquia,1266533,9097,9085,6415,9068,7513,4179,1039,8441,11192,1098,8273,3117,6272,233,206,191,309,201,9508,7,9635,309,949,259,7,9635,42,309,209,7,161,335,184
2014,Atlántico,521917,8581,8558,5218,811,7483,4417,9365,8287,10161,9624,7386,2357,8087,329,128,338,366,304,9637,1,9621,366,9672,34,1,9621,35,24,182,1,17,239,1
2014,"Bogotá, D.C.",1460379,8079,8038,5776,7677,7523,4997,8666,7409,8668,9386,7868,1707,9944,25,27,201,301,248,9736,0,9793,301,9735,14,0,9793,25,17,869,0,547,1406,814
2014,Bolívar,490573,875,8741,5842,8529,7109,3769,9871,1033,1091,9815,7187,2118,4216,353,192,347,419,306,941,8,9488,419,9393,237,8,9488,386,301,196,8,196,25,12
2014,Boyacá,288366,8394,8389,6309,8059,749,4836,9474,8274,9261,10247,8985,2543,2105,189,167,132,255,197,938,22,9583,255,9339,431,22,9583,66,465,224,22,168,348,186
2014,Caldas,195455,8096,8093,5411,7653,706,4368,9236,7133,9442,9947,834,2618,2842,265,301,203,345,248,9474,25,9586,345,948,26,25,9586,364,272,173,25,135,254,179
2014,Caquetá,124473,7936,7933,4622,7956,5715,2336,9171,8082,10891,8844,5922,2864,1089,423,434,385,484,427,9567,0,961,484,9495,1,0,961,5,78,118,0,98,191,91
2014,Cauca,316362,846,8458,4554,86,6465,3139,10548,8307,11729,10927,8085,2134,4274,454,167,38,625,491,9533,0,9617,625,9412,12,0,9617,1,97,12,0,105,178,101
2014,Cesar,261493,9629,9614,5955,9379,746,3699,11111,11426,12766,10698,7561,2852,3059,495,586,441,57,425,9287,69,9393,57,9326,219,69,9393,33,25,12,69,11,169,68
2014,Córdoba,408623,9323,9319,5482,9081,7498,3692,11059,10261,1183,11569,8448,2234,4522,211,17,172,264,262,975,6,9807,264,9658,39,6,9807,62,8,201,6,207,247,147
2014,Cundinamarca,573948,8999,8979,5896,8505,8131,4848,9975,8853,10084,10905,8406,1965,2158,26,244,194,343,256,9672,1,978,343,9619,69,1,978,115,125,173,1,123,273,143
2014,Chocó,145299,8115,8114,5373,8375,4784,1837,10066,8983,12501,8843,6486,188,1884,353,296,325,454,274,9058,21,9085,454,9324,589,21,9085,827,402,44,21,52,39,11
2014,Huila,270459,8835,8829,5917,8899,7554,3936,9941,8186,10726,10587,7589,2694,2448,333,223,235,487,361,9653,0,9763,487,9564,14,0,9763,16,74,108,0,86,16,11
2014,La Guajira,251458,7491,7487,4726,7168,4478,2009,8884,9732,11569,7035,4385,2255,3752,448,226,427,603,405,9514,11,9552,603,9526,38,11,9552,8,69,13,11,128,182,106
2014,Magdalena,331389,9035,901,5938,8379,6794,3395,1084,1284,12667,9926,695,1959,23,296,181,297,334,287,9605,4,9623,334,9607,99,4,9623,144,106,93,4,86,117,49
2014,Meta,215227,9477,9472,5988,9329,7864,4239,1064,9026,11891,10851,7798,2807,2128,302,331,272,36,237,9507,13,9607,36,957,19,13,9607,329,194,141,13,106,244,77
2014,Nariño,397640,7523,7522,4097,7385,5667,3002,8987,7181,10211,8778,7266,222,364,291,52,26,4,258,9698,0,9736,4,9703,11,0,9736,17,4,16,0,136,238,137
2014,Norte de Santander,313966,872,8715,5787,8964,684,3699,9877,9562,11308,9613,7208,2803,1546,33,361,337,34,246,9607,9,9628,34,9648,62,9,9628,102,106,164,9,121,271,14
2014,Quindio,110359,8393,839,4426,7697,7846,4457,9759,7111,9529,11265,8652,2957,3226,368,398,291,469,311,9302,11,9515,469,9346,329,11,9515,531,343,141,11,108,218,105
2014,Risaralda,185754,8818,8802,5156,8411,7647,4111,10353,8214,10663,11418,8575,2609,5663,367,4,304,465,296,9308,52,9454,465,9352,325,52,9454,475,352,166,52,132,262,12
2014,Santander,413227,9363,9352,571,9333,8172,47,10595,9589,11425,11033,831,2612,2154,282,242,243,346,265,9545,49,9659,346,9508,173,49,9659,28,227,176,49,136,28,136
2014,Sucre,201098,9688,9682,6899,9599,7559,3986,11329,13126,12425,11021,8381,2385,5908,583,216,587,725,49,8508,63,8557,725,8661,908,63,8557,1269,849,12,63,118,158,79
2014,Tolima,313709,8636,863,5127,8415,7277,4072,9632,8476,1054,9884,7452,2631,3456,416,283,421,456,362,9031,27,9155,456,9145,553,27,9155,858,493,92,27,82,132,65
2014,Valle del Cauca,880625,8552,8534,5364,8348,7081,3912,984,8798,10584,10324,7679,2191,3622,216,206,18,274,196,956,18,9662,274,959,224,18,9662,361,214,82,18,81,106,52
2014,Arauca,74948,7155,7151,4319,7083,5471,276,8148,7666,9311,7912,5624,2042,2123,559,165,5,739,676,944,0,95,739,9313,1,0,95,0,11,204,0,147,372,139
2014,Casanare,86899,10326,10324,7006,1021,8471,4618,11709,10087,12833,12006,9092,2578,2346,227,192,208,264,22,9287,28,9455,264,9395,486,28,9455,836,385,119,28,102,187,56
2014,Putumayo,92368,7772,7771,3698,7641,6322,2853,9013,7509,9889,9506,6579,2841,1804,433,41,34,576,423,9459,0,9596,576,9392,108,0,9596,176,185,104,0,76,179,98
2014,"Archipiélago de San Andrés, Providencia y Santa Catalina",15395,6817,6813,5444,6817,6125,3852,7386,7659,7607,7889,5748,2604,96,122,211,94,125,155,9874,0,9906,125,9817,3,0,9906,0,27,372,0,29,569,376
2014,Amazonas,22167,8213,8211,4391,8493,5769,2309,9565,895,11405,8912,6326,2029,1651,304,297,195,467,435,9693,0,9802,467,9565,3,0,9802,5,0,39,0,332,617,339
2014,Guainía,11916,7367,7367,573,7108,3422,803,9009,11592,11634,7682,4008,2642,3077,488,459,38,724,533,8194,1069,8486,724,8627,1317,1069,8486,1909,84,464,1069,428,562,264
